​ A-Frame:error This HTML file is currently being served via the file:// protocol. Assets, textures, and models WILL NOT WORK due to cross-origin policy! Please use a local or hosted server: https://aframe.io/docs/0.5.0/introduction/getting-started.html#using-a-local-server. 
​ A-Frame Version: 1.1.0 (Date 2020-12-03, Commit #8aefd214)
​ THREE Version (https://github.com/supermedium/three.js): ^0.123.1
​ WebVR Polyfill Version: ^0.10.12
​ ~id,trial,time-ms,delta-ms,time-sec,left-valid,left-x,left-y,left-z,left-pitch,left-roll,left-yaw,left-direction-x,left-direction-y,left-direction-z,left-speed-x,left-speed-y,left-speed-z,left-grab,right-valid,right-x,right-y,right-z,right-pitch,right-roll,right-yaw,right-direction-x,right-direction-y,right-direction-z,right-speed-x,right-speed-y,right-speed-z,right-grab
​ ~0,0,796.9000000357628,16.700000047683716,0,Y,-0.054828117,0.031439033999999956,-0.25841850299999997,0.9977733529586803,2.9342859989860584,0.4123726534566165,0.230775,0.8175849999999999,-0.5275400000000002,84.921654,35.88620400000003,137.954117,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,813.6999999880791,16.799999952316284,0,Y,-0.052652969,0.032073791999999955,-0.255716705,1.007953639431338,2.91103878930435,0.4175819309213643,0.230374,0.8229929999999999,-0.5192400000000003,138.075974,37.91361600000003,162.911285,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,830.4000000357628,16.700000047683716,0,Y,-0.049393497,0.033217593999999954,-0.253293655,1.026745204209409,2.9182081622250844,0.4415851206577924,0.237671,0.8311019999999999,-0.5027750000000002,190.267822,66.72724900000003,120.40216799999999,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,847.1000000238417,16.69999998807907,0,Y,-0.047475082,0.03375573699999996,-0.252145142,1.0327047334006398,2.928280526867798,0.45006548693470844,0.240348,0.8335169999999998,-0.49747500000000017,210.976807,59.18196500000003,126.30682399999999,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,863.8000000119208,16.69999998807907,0,Y,-0.043338371,0.03473486299999996,-0.25002536000000003,1.042092579648412,2.954808614652311,0.4683863953716098,0.247277,0.8366469999999999,-0.4887500000000002,236.537964,39.78731500000003,122.38462099999998,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,880.4999999999999,16.69999998807907,0,Y,-0.038914871,0.03494041099999996,-0.247955826,1.0443190499986166,3.0026827418604056,0.4797710709859283,0.252953,0.8364649999999999,-0.48614900000000016,248.851776,-1.789016999999974,116.692245,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,897.3000000119208,16.80000001192093,0,Y,-0.03454641,0.034967616999999965,-0.246527451,1.060960669377336,3.069703094789384,0.5012829683734343,0.258349,0.8431939999999999,-0.47146600000000016,243.133759,9.651032000000013,56.153515,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,913.9000000357627,16.600000023841858,0,Y,-0.030432657,0.03497124499999997,-0.24619085699999999,1.0851371154421698,3.1375418701955544,0.5360116894384028,0.267202,0.8522119999999999,-0.4498190000000002,225.010605,0.6200499999999983,-7.626188,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,930.4999999999999,16.599999964237213,0,Y,-0.026596081,0.03485798299999996,-0.24652717600000001,1.0986479311782906,-3.10168977102482,0.5621301549253148,0.275409,0.8561509999999999,-0.43721200000000016,205.682327,-11.700733000000007,-33.363083,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,947.3000000119208,16.80000001192093,0,Y,-0.02487141,0.034795489999999964,-0.246918564,1.0999846740408707,-3.0938802064017286,0.5685461442322403,0.278365,0.8559759999999998,-0.43568100000000015,189.75351,-6.875709000000009,-43.061207,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,963.9999999999999,16.69999998807907,0,Y,-0.022150581,0.03404690599999997,-0.24766560399999998,1.0948567570058438,-3.103379231829047,0.5687603071996183,0.281068,0.8530309999999999,-0.43970400000000015,139.798904,-45.44734600000002,-52.911319999999996,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,980.4999999999998,16.5,0,Y,-0.020553495,0.033307509999999964,-0.24894885300000003,1.089033661237851,-3.1288523383421727,0.565508159634933,0.282115,0.8501829999999999,-0.44452100000000017,71.775871,-34.934441000000014,-76.01572399999999,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,997.3000000119208,16.80000001192093,0,Y,-0.020593355,0.03358822999999997,-0.250096832,1.0838864314284817,3.1281552138146216,0.5548758061887646,0.278541,0.8488069999999999,-0.44938000000000017,3.430645,7.643695999999985,-66.189163,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,1014.1000000238416,16.80000001192093,1,Y,-0.021168339,0.03368313599999996,-0.251129807,1.083308165021676,3.1214583382173684,0.5495657471191888,0.275778,0.8492509999999999,-0.45024400000000014,-45.191608,5.901364999999989,-53.246902,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
